Sample	Project	Sub_Location	Location	Season	Month	Year	Sample_Type	Sample_ID	Day	Station_ID	Station_Name	Collected_by	Time	Samples_Collected_by	Temperature_C	mm_Hg	DO_mg_L	DO_LDO	Specific_Conductance_uS_cm	Salinity_ppt	pH	pH_mv	IVCH_ug_L	Turbidity_ Fluorometer	Comments
PR556A	S015	CS2	CS	W	July	2021	N	PR556A	19	CS2	Channel Suarez 2	Boat	10:03 AM	ICC	29.8	763.4	3.25	48.40%	28794	17.6	7.24	-43.7	23.86	7.803	Water color: greenish
PR145C	S015	CS2	CS	W	September	2021	N	PR145C	27	CS2	Channel Suarez 2	Boat	11:02 AM	ICC	31.4	760.6	2.02	33.60%	27604	16.85	7.17	-45.2	17.24	3.956	Water color: brown.
PR417	S015	CS2	CS	D	April	2022	N	PR417	1	CS2	Channel Suarez 2	Boat	10:51 AM	ICC	27.8	763.3	3.22	47.5	30884	19.13	7.79	-80.9	24.23	5.554	Water color: brown. It rained the day before  the sampling event. 
PR559A	S015	LLC1	LLC	W	July	2021	N	PR559A	19	LLC1	Los Corozos Lagoon 1	Boat	10:44 AM	ICC	30.5	763.5	6.31	89.50%	18214	10.69	8.2	-110.5	96.84	8.546	Water color: brown
PR151C	S015	LLC1	LLC	W	September	2021	N	PR151C	27	LLC1	Los Corozos Lagoon 1	Boat	11:49 AM	ICC	32.1	760.3	8.1	118.70%	19052	11.2	8.08	-107	61.95	3.857	Water color: green.
PR318	S015	LLC1	LLC	D	January	2022	N	PR318	24	LLC1	Los Corozos Lagoon 1	Boat	N/A	ICC	27.598	N/A	3.96	40.00%	32.01	20.01	7.81	N/A	N/A	31.3	Water color: green. 
PR422	S015	LLC1	LLC	D	April	2022	N	PR422	1	LLC1	Los Corozos Lagoon 1	Boat	11:36 AM	ICC	27	763.1	7.58	100.5	16168	9.43	8.73	-137.4	45.49	6.353	Water color: brownish. It rained the day before  the sampling event. 
lp1-1	S003	LP1	LP	D	May	2021	N	lp1-1	24	LP1	Piñones Lagoon 1	"""Boat"""	8:46 AM	ICC	26.7	762.6	6.74	102.60%	47587	30.91	4.94	78.3	25.09	5.716	Bad odor. Water color: brown 
lp1-2	S003	LP1	LP	W	June	2021	N	lp1-2	11	LP1	Piñones Lagoon 1	Land	10:33 AM	ICC	27.3	762.2	0.9	13.20%	34767	21.8	4.66	139.4	74.54	42.03	It rained the day before. Water color: black. Bad odor.
lp1-3	S003	LP1	LP	W	July	2021	N	lp1-3	1	LP1	Piñones Lagoon 1	"""Boat"""	7:34 AM	ICC/MSM	27.3	761.7	1.23	18.30%	34697	21.7	6.96	-22.5	60.55	83.42	Bad odor. Water color: Black. It rained the day before.
PR564A	S015	LP1	LP	W	July	2021	N	PR564A	21	LP1	Piñones Lagoon 1	"""Boat"""	8:45 AM	ICC	30.1	763.7	4.51	69.90%	46042	29.71	7.61	-70	64.24	22.83	No bad odor like other times. It was drizzling while I was collecting the water samplep. Water color: brown (on the surface)/greenish
5	S003	LP1	LP	W	August	2021	N	5	2	LP1	Piñones Lagoon 1	Land	10:00 AM	ICC/EFR	32.2	763.2	10.64	168.50%	43156	27.57	7.96	-101.2	47.89	10.58	Water color: brown
95	S003	LP1	LP	W	September	2021	N	95	29	LP1	Piñones Lagoon 1	"""Boat"""	8:50 AM	ICC	31.1	759.5	4.7	73.80%	43116	27.58	7.88	-93.3	63.62	9.342	Water color: brown. Bad smell.
239	S003	LP1	LP	W	October	2021	N	239	28	LP1	Piñones Lagoon 1	"""Boat"""	9:15 AM	ICC/IGG/VSB	29.6	761.6	11	161.50%	31854	19.74	8.19	-100.2	147.1	8.77	 
pr242a	S003	LP1	LP	W	November	2021	N	pr242a	9	LP1	Piñones Lagoon 1	Land	9:15 AM	MOL	28.8	761	3.83	57.70%	40857	26.04	7.38	-60.1	116.9	6.058	Water color: brown. 
pr295a	S003	LP1	LP	D	December	2021	N	pr295a	16	LP1	Piñones Lagoon 1	"""Boat"""	10:04 AM	JOV/AMO	25.3	762.4	4.11	59.80%	38014	22.64	7.27	-49	80.2	38.61	Water color: brown. It rained the day before. 
PR328	S015	LP1	LP	D	January	2022	N	PR328	26	LP1	Piñones Lagoon 1	"""Boat"""	8:50 AM	ICC/VSB/APR	26.1	762.6	4.51	66.20%	44440	28.67	7.22	-52.6	32.5	4.348	Water color: brown.
PR399	S015	LP1	LP	D	March	2022	N	PR399	31	LP1	Piñones Lagoon 1	Land	9:30 AM	ICC/AVC	26.6	762.5	3.67	53.5	42783	27.47	7.48	-62.1	48.59	64.45	Water color: brown . It rained the day before and before the sampling event.  
PR558A	S015	LSJ1	LSJ	W	July	2021	N	PR558A	19	LSJ1	San Jose Lagoon 1	Boat	10:32 AM	ICC	30.2	763.4	8.53	120.70%	20329	12.05	8.21	-111.2	63.49	6.33	Water color: greenish
PR147C	S015	LSJ1	LSJ	W	September	2021	N	PR147C	27	LSJ1	San Jose Lagoon 1	Boat	11:40 AM	ICC	33	760.2	8.07	119.40%	18734	11	8.01	-102.4	58.17	4.378	Water color: green.
PR317	S015	LSJ1	LSJ	D	January	2022	N	PR317	24	LSJ1	San Jose Lagoon 1	Boat	N/A	ICC	27.84	N/A	8.17	110.60%	18.234	10.74	8.4	N/A	N/A	1	Water color: green. 
PR421	S015	LSJ1	LSJ	D	April	2022	N	PR421	1	LSJ1	San Jose Lagoon 1	Boat	11:28 AM	ICC	26.7	763.1	8.14	106.5	12201	6.96	8.29	-111.1	69.66	11.48	Water color: green. It rained the day before  the sampling event. 
PR557A	S015	LSJ2	LSJ	W	July	2021	N	PR557A	19	LSJ2	San Jose Lagoon 2	Boat	10:24 AM	ICC	30.1	763.4	9.19	128.80%	20380	12.09	8.26	-114.7	54.11	6.792	Water color: greenish
PR149C	S015	LSJ2	LSJ	W	September	2021	N	PR149C	27	LSJ2	San Jose Lagoon 2	Boat	11:31 AM	ICC	31.8	760.3	7.53	108.50%	19436	11.45	7.97	-99.7	34.4	3.275	Water color: green.
PR316	S015	LSJ2	LSJ	D	January	2022	N	PR316	24	LSJ2	San Jose Lagoon 2	Boat	N/A	ICC	27.161	N/A	8.6	115.30%	19.942	11.85	8.55	N/A	N/A	2.15	Water color: green. 
PR420	S015	LSJ2	LSJ	D	April	2022	N	PR420	1	LSJ2	San Jose Lagoon 2	Boat	11:21 AM	ICC	27.5	763.1	8.11	109.5	17795	10.46	8.71	-136.6	41.89	7.047	Water color: green. It rained the day before  the sampling event. 
lsj3-1	S003	LSJ3	LSJ	D	May	2021	N	lsj3-1	27	LSJ3	San Jose Lagoon 3	Land	9:44 AM	ICC/EFR	29.6	762.6	5.4	77.60%	22318	13.43	5.99	59.6	54.1	5.781	water color: brown
lsj3-2	S003	LSJ3	LSJ	W	June	2021	N	lsj3-2	9	LSJ3	San Jose Lagoon 3	Land	9:46 AM	ICC/AMO/JOV	27.9	762.9	8.24	113.60%	19351	11.46	6.01	58.1	76.11	8.902	It rained the day before. Water color: greenish/dark brown
lsj3-3	S003	LSJ3	LSJ	W	July	2021	N	lsj3-3	1	LSJ3	San Jose Lagoon 3	Land	10:55 AM	ICC/MSM	30.2	762.3	7.83	110.20%	16930	9.88	8.25	-111.8	71.18	6.567	Water color: greenish. It rained the day before.
PR566A	S015	LSJ3	LSJ	W	July	2021	N	PR566A	22	LSJ3	San Jose Lagoon 3	Land	10:01 AM	ICC/AMO/JOV	30.9	764.2	4.43	63.40%	18682	10.98	7.97	-94.7	50.04	6.1	Water color: greenish. It rained the day before.
18	S003	LSJ3	LSJ	W	August	2021	N	18	3	LSJ3	San Jose Lagoon 3	Land	10:03 AM	ICC/AMO/JOV	30.7	762.5	5.1	73.50%	18174	10.66	7.85	-93.1	50.98	6.174	Water color: green
104	S003	LSJ3	LSJ	W	September	2021	N	104	30	LSJ3	San Jose Lagoon 3	Land	10:24 AM	ICC/IGG/VSB	32	759.3	6.58	95.60%	19515	11.5	8.03	-103.6	50.12	3.91	 
